domain_name,agency_organization,maintaining_office,use_case,Type of government,Federal branch,state,comments,link,date_added,agency_type,branch,Domain Type,city,security_contact_email
1-800-vermont.com,,,,State,,Vermont,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,http://1-800-vermont.com/,6/6/13 19:11,state,,,,
townofhopemills.com,,,,Local,,North Carolina,"Town of Hope Mills, NC -- Note added 12/4/13 19:14",http://townofhopemills.com/,6/6/13 18:09,local,,,,
1800arkansas.com,,,,State,,,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,,1/24/14 14:37,state,,,,
1800runaway.org,,,,Quasigovernmental,,,"The National Runaway Safeline serves as the federally designated national communication system for runaway and homeless youth. Services are provided through funding from Family and Youth Services Bureau in the Administration for Children and Families, U.S. Department of Health and Human Services and the generosity of private funders (individual donors, corporate partners, and foundation grants). -- Note added 7/23/14 13:04",http://www.1800runaway.org/,1/10/14 19:15,quasigovernmental,,,,
midas.18f.us,General Services Administration (GSA),,,Federal,,,"18F, General Services Administration -- Note added 11/10/14 19:10",https://midas.18f.us/,11/10/14 19:10,federal,unspecified,,,
211.getcare.com,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14",https://211.getcare.com/211provider/consumer/index211.do,5/27/14 14:12,state,,,,
211virginia.org,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17",http://211virginia.org,1/10/14 19:17,state,,,,
360eldorado.com,,,,Local,,Kansas,"City of El Dorado, KS -- Note added 11/19/13 12:57",http://www.360eldorado.com/Government/CityofElDorado.html,11/19/13 12:54,local,,,,
3riverscfc.org,Combined Federal Campaign,,,Federal,,"Ohio, Pennsylvania, West Virginia",3 Rivers/Pennsylvania West Combined Federal Campaign -- Note added 6/6/13 18:08,http://3riverscfc.org/,6/6/13 18:08,federal,unspecified,,,
4thjudicialda.com,,,,State,,Colorado,4th Judicial District Attorney -- Note added 1/10/14 19:17,http://4thjudicialda.com/start.aspx,1/10/14 19:17,state,,,,
511ny.org,,,,State,,New York,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34",http://511ny.org/,1/24/14 14:33,state,,,,
911digitalarchive.org,,,,Quasigovernmental,,,The September 11 Digital Archive (funded by a major grant from the Alfred P. Sloan Foundation and organized by the American Social History Project at the City University of New York Graduate Center and the Center for History and New Media at George Mason University) -- Note added 6/6/13 18:08,http://911digitalarchive.org/,6/6/13 18:08,quasigovernmental,,,,
a2gov.org,,,,Local,,Michigan,"City of Ann Arbor, MI -- Note added 8/31/16 16:38",http://www.a2gov.org/,8/31/16 16:33,local,,,,
aacounty.org,,,,County,,Maryland,"Anne Arundel County, MD -- Note added 4/21/14 14:52",http://www.aacounty.org/,6/6/13 18:08,county,,,,
aal.army,Department of the Army,,,Federal,,,"The Army Applications Laboratory was established in 2018, along with the stand-up of the Army Futures Command, to act as a concierge service across the Army’s Future Force Modernization Enterprise and the broader commercial marketplace of ideas. Based on the 8th floor of the Capital Factory in Austin, AAL’s mission is to align innovative solutions and technologies with Army problems, resources and programs to rapidly discover, validate and transition technology applications in support of Army modernization. - From https://armyfuturescommand.com/aal/. aal.army links to Army Futures Command (armyfuturescommand.com) -- 8/26/2019 DPM",https://aal.army,8/26/19 0:00,federal,unspecified,,,
aapcc.org,,,,Quasigovernmental,,,American Association of Poison Control Centers -- Note added 1/10/14 19:19,http://www.aapcc.org/,1/10/14 19:19,quasigovernmental,,,,
aatwp.org,,,,Local,,Michigan,"Ann Arbor Charter Township, MI -- Note added 9/2/15 19:54",http://aatwp.org/,6/6/13 18:08,local,,,,
aberdeen-md.org,,,,Local,,Maryland,"City of Aberdeen, MD -- Note added 3/20/14 17:17",http://www.aberdeen-md.org/,6/6/13 18:08,local,,,,
aberdeen.sd.us,,,,Local,,South Dakota,"City of Aberdeen, SD -- Note added 11/18/13 14:17",http://aberdeen.sd.us/,6/6/13 18:09,local,,,,
aberdeenms.us,,,,Local,,Mississippi,"City of Aberdeen, MS -- Note added 7/8/14 12:52",http://aberdeenms.us/,6/6/13 18:08,local,,,,
aberdeennj.org,,,,Local,,New Jersey,"Township of Aberdeen, NJ -- Note added 6/27/14 13:03",http://www.aberdeennj.org/,6/6/13 18:08,local,,,,
aberdeenwa.gov,,,,Local,,Washington,"City of Aberdeen, WA -- Note added 9/12/14 5:24",http://aberdeenwa.gov/,6/6/13 18:08,local,,,,
abilenecityhall.com,,,,Local,,Kansas,"City of Abilene, KS -- Note added 6/6/13 18:08",http://abilenecityhall.com/,6/6/13 18:08,local,,,,
abilenetx.com,,,,Local,,Texas,"City of Abilene, TX -- Note added 3/3/15 6:31",http://abilenetx.com/,6/6/13 18:08,local,,,,
abington.org,,,,Local,,Pennsylvania,"Township of Abington, PA -- Note added 6/27/14 16:12",http://abington.org/,6/6/13 18:08,local,,,,
academyadmissions.com,Department of Defense (DOD),,,Federal,,,Air Force Academy Admissions -- Note added 3/24/14 16:11,https://www.academyadmissions.com/,3/24/14 16:11,federal,unspecified,,,
accessduarte.com,,,,Local,,California,"City of Duarte, CA -- Note added 2/27/15 18:10",http://accessduarte.com/,6/6/13 18:08,local,,,,
accessesmeralda.com,,,,County,,Nevada,"County of Esmeralda, NV -- Note added 11/18/13 14:25",http://www.accessesmeralda.com/,6/6/13 18:08,county,,,,
accessfayetteville.org,,,,Local,,Arkansas,"City of Fayetteville, AR -- Note added 7/17/13 16:00",http://accessfayetteville.org/,6/6/13 18:08,local,,,,
accessidaho.org,,,,State,,Idaho,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,http://www.accessidaho.org/,6/6/13 18:08,state,,,,
accesskent.com,,,,Local,,Michigan,"accesskent, mi -- Note added 9/2/15 19:54",https://www.accesskent.com/,6/6/13 18:08,local,,,,
accessportsmouthva.com,,,,Local,,Virginia,"City of Portsmouth, VA Economic Development -- Note added 9/5/2020 18:10",https://www.accessportsmouthva.com/,9/5/20 18:10,local,,,,
accidentmd.org,,,,County,,Maryland,"Accident Maryland, located in Garrett County, MD. -- Note added 4/29/14 14:21",http://www.accidentmd.org,6/6/13 18:08,county,,,,
