Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
1-800-vermont.com,,,,State,,Vermont,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,http://1-800-vermont.com/,6/6/13 19:11
1800arkansas.com,,,,State,,,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,#N/A,1/24/14 14:37
211.getcare.com,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14",https://211.getcare.com/211provider/consumer/index211.do,5/27/14 14:12
360eldorado.com/Government,,,,Local,,Kansas,"City of El Dorado, KS -- Note added 11/19/13 12:57",http://www.360eldorado.com/Government/CityofElDorado.html,11/19/13 12:54
4thjudicialda.com,,,,State,,Colorado,4th Judicial District Attorney -- Note added 1/10/14 19:17,http://4thjudicialda.com/start.aspx,1/10/14 19:17
abilenecityhall.com,,,,Local,,Kansas,"City of Abilene, KS -- Note added 6/6/13 18:08",http://abilenecityhall.com/,6/6/13 18:08
abilenetx.com,,,,Local,,Texas,"City of Abilene, TX -- Note added 3/3/15 6:31",http://abilenetx.com/,6/6/13 18:08
academyadmissions.com,Department of Defense (DOD),,,Federal,,,Air Force Academy Admissions -- Note added 3/24/14 16:11,https://www.academyadmissions.com/,3/24/14 16:11
accessduarte.com,,,,Local,,California,"City of Duarte, CA -- Note added 2/27/15 18:10",http://accessduarte.com/,6/6/13 18:08
accessesmeralda.com,,,,County,,Nevada,"County of Esmeralda, NV -- Note added 11/18/13 14:25",http://www.accessesmeralda.com/,6/6/13 18:08
accesskent.com,,,,Local,,Michigan,"accesskent, mi -- Note added 9/2/15 19:54",https://www.accesskent.com/,6/6/13 18:08
accessportsmouthva.com,,,,Local,,Virginia,"City of Portsmouth, VA Economic Development -- Note added 9/5/2020 18:10",https://www.accessportsmouthva.com/,9/5/20 18:10
adaok.com,,,,Local,,Oklahoma,"addock, ok -- Note added 8/28/15 16:26",http://adaok.com/,6/6/13 18:08
adellwi.govoffice2.com,,,,Local,,Wisconsin,"Village of Adell, WI -- Note added 1/13/14 19:14",http://www.adellwi.govoffice2.com/,6/6/13 18:09
afcrossroads.com,,,,Quasigovernmental,,,Armed Forces Crossroads -- Note added 6/14/13 18:11,#N/A,6/6/13 18:08
afreserve.com,Department of the Air Force,,,Federal,,,US Air Force Reserve recruiting site -- Note added 6/6/13 18:08,https://afreserve.com/,6/6/13 18:08
afthunderbirds.com,Department of the Air Force,,,Federal,,,Air Force Thunderbirds -- Note added 9/12/14 11:40,http://afthunderbirds.com/,9/12/14 11:40
aftoniowa.com,,,,Local,,Iowa,"City of Afton, IA -- Note added 7/21/15 12:31",http://www.aftoniowa.com/,6/6/13 18:08
agfirst.com,Farm Credit Administration,,,Federal,,,"AgFirst Farm Credit Bank is part of the national Farm Credit System, the largest agricultural lending organization in the United States -- Note added 7/19/13 13:35",http://agfirst.com/index.asp,6/6/13 18:08
agribank.com,Farm Credit Administration,,,Federal,,,"Under the Farm Credit System's cooperative structure, AgriBank is owned by 17 affiliated Farm Credit Associations. The AgriBank District covers America's Midwest, a fifteen state area from Wyoming to Ohio and Minnesota to Arkansas. -- Note added 6/17/13 15:03",#N/A,6/6/13 18:08
ahfa.com,,,,State,,Alabama,Alabama Housing Finance Authority -- Note added 6/12/13 16:40,http://www.ahfa.com/,6/6/13 18:08
ahnj.com,,,,Local,,New Jersey,"Borough of Atlantic Highlands, NJ -- Note added 6/30/14 11:38",http://ahnj.com/ahnj/,6/6/13 18:08
airdefenseartillery.com,Department of Defense (DOD),,,Federal,,,"Air Defense Artillery, a magazine of the Armed Forces as listed at http://www.defense.gov/pubs/magazines.html.  -- Note added 11/18/13 14:34",http://airdefenseartillery.com/,6/6/13 18:08
airforce.com,Department of the Air Force,,,Federal,,,US Air Force recruiting site -- Note added 6/6/13 18:08,https://www.airforce.com/,6/6/13 18:08
airspacemag.com,Smithsonian Institution,,,Federal,,,Smithsonian Air & Space Magazine -- Note added 8/25/14 13:00,http://www.airspacemag.com/?no-ist,8/25/14 13:00
ak-prepared.com,,,,State,,Alaska,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,http://ak-prepared.com/,6/6/13 18:08
akaerospace.com,,,,State,,Alaska,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,http://akaerospace.com/index.html,6/6/13 18:08
akron-pa.com,,,,Local,,Pennsylvania,"Borough of Akron, PA -- Note added 6/30/14 15:42",http://akron-pa.com/,6/6/13 18:08
akrr.com,,,,State,,Alaska,Alaska Railroad Corporation -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
alabamacounterdrug.com,,,,State,,Alabama,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41,http://www.alabamacounterdrug.com/,1/23/14 13:40
alaskarailroad.com,,,,State,,Alaska,Alaska Railroad Corporation -- Note added 7/2/13 17:55,http://www.alaskarailroad.com/,6/6/13 18:08
albanycounty.com,,,,County,,New York,"Albany County, NY -- Note added 12/6/13 13:38",http://albanycounty.com/Home.aspx,6/6/13 18:08
albanytownship.com,,,,Local,,Minnesota,"Albany Township, MN -- Note added 7/19/13 13:37",http://albanytownship.com/Home.php,6/6/13 18:08
albionme.com,,,,Local,,Maine,"Town of Albion, ME -- Note added 7/18/14 11:27",http://www.albionme.com/,6/6/13 18:08
albop.com,,,,State,,Alabama,Alabama Board of Pharmacy -- Note added 6/12/13 16:47,http://albop.com/,6/6/13 18:08
alexandercityonline.com,,,,Local,,Alabama,"Alexander City, AL -- Note added 6/12/13 17:14",http://www.alexandercityonline.com/,6/6/13 18:08
alexandrianh.com,,,,Local,,New Hampshire,"alexandria, nh -- Note added 8/28/15 18:35",http://alexandrianh.com/,6/6/13 18:08
alhurra.com,U.S. Agency for Global Media,,,Federal,,,"Alhurra Television, Middle East Broadcasting Networks, Inc. (as listed at http://www.bbg.gov/broadcasters/mbn/).  -- Note added 11/18/13 14:45",http://www.alhurra.com/,7/31/13 15:03
alleganyco.com,,,,County,,New York,"Allegany County, NY -- Note added 6/7/15 19:57",http://alleganyco.com/,6/6/13 18:08
allencountykentucky.com,,,,County,,Kentucky,"allen county, Ky -- Note added 8/27/15 15:11",http://allencountykentucky.com/,6/6/13 18:08
allendalecounty.com,,,,County,,South Carolina,"Allendale County, SC -- Note added 7/23/13 19:51",http://allendalecounty.com/,6/6/13 18:08
almacity.com,,,,Local,,Nebraska,"City of Alma, NE -- Note added 12/6/13 18:48",http://www.almacity.com/,6/6/13 18:08
almawisconsin.com,,,,Local,,Wisconsin,"City of Alma, WI -- Note added 7/25/14 5:06",http://almawisconsin.com/,6/6/13 18:08
alton-il.com,,,,Local,,Illinois,"City of Alton, IL -- Note added 7/1/14 19:14",http://www.alton-il.com/,6/6/13 18:08
altoona-iowa.com,,,,Local,,Iowa,"Altoona, Ia -- Note added 8/25/15 19:56",http://www.altoona-iowa.com/,6/6/13 18:08
amador-city.com/government,,,,Local,,California,Amador City website -- Note added 3/10/15 16:31,http://www.amador-city.com/amador-city-government.html,6/6/13 18:08
ameliacova.com,,,,County,,Virginia,"Amelia County, VA -- Note added 5/27/14 20:31",http://www.ameliacova.com/,6/6/13 18:08
amityville.com,,,,Local,,New York,"Village of Amityville, Long Island, NY -- Note added 6/8/15 12:05",http://amityville.com/,6/6/13 18:08
amtrak.com,National Railroad Passenger Corporation,,,Federal,,,"Amtrak, the National Railroad Passenger Corporation -- Note added 11/18/13 14:58",http://www.amtrak.com/home,6/6/13 18:08
amtrakcascades.com,,,,State,,Washington,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40",http://amtrakcascades.com/,7/30/13 13:27
amver.com,U.S. Coast Guard,,,Federal,,,"Automated Mutual Assistance Vessel Rescue (AMVER) System, sponsored by the United States Coast Guard, is a computer-based voluntary global ship reporting system used worldwide by search and rescue authorities to arrange for assistance to persons in distress at sea. -- Note added 1/23/15 15:04",http://www.amver.com/,1/23/15 15:03
anc2e.com,,,,Local,,District of Columbia,DC Advisory Neighborhood Commission 2E -- Note added 6/7/13 17:34,#N/A,6/6/13 18:08
