Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
aces.edu,,,,State,,Alabama,Alabama Cooperative Extension System -- Note added 6/12/13 16:37,http://www.aces.edu/main/,6/6/13 18:08
aces.nmsu.edu/pubs,,,,State,,New Mexico,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,#N/A,6/6/13 18:08
afacademy.af.edu,Department of Defense (DOD),,,Federal,,,United States Air Force Academy email domain. -- Note added 09/01/21 16:57,https://usafa.edu,9/1/21 16:57
ag.umass.edu,,,,State,,Massachusetts,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,http://ag.umass.edu/,6/6/13 18:09
agrilifeextension.tamu.edu,,,,State,,Texas,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,http://agrilifeextension.tamu.edu/,6/6/13 18:08
alsde.edu,,,,State,,Alabama,Alabama State Department of Education -- Note added 6/12/13 17:15,http://www.alsde.edu/Pages/home.aspx,6/6/13 18:08
avalon.law.yale.edu,,,,Quasigovernmental,,,"The Avalon Project, documents in law, history, and diplomacy -- Note added 6/14/13 18:25",#N/A,6/6/13 18:08
bie.edu,Department of the Interior,,,Federal,,,The Bureau of Indian Education’s (BIE) bie.edu is an Indian education website. The BIE is institutionally accredited by the U.S. Department of Education to own and operate the .edu domain to align with the educational mission of the BIE.,https://bie.edu/,1/7/14 - updated 02/03/2020
bushlibrary.tamu.edu,National Archives and Records Administration (NARA),,Redirect,Federal,,,Redirects to https://www.bush41.org/ - DPM 11/15/22. George H.W. Bush Presidential Library and Museum -- Note added 6/12/13 16:26,http://bushlibrary.tamu.edu/,6/6/13 18:08
cce.cornell.edu,,,,Local,,New York,Cornell University (NY) Cooperative Extension -- Note added 6/17/15 17:03,http://cce.cornell.edu/Pages/Default.aspx,6/6/13 18:08
cdse.edu,Department of Defense (DOD),,,Federal,,,"Center for Development of Security Excellence, Defense Security Service, Department of Defense -- Note added 6/14/13 18:49",http://cdse.edu/,6/6/13 18:08
ces.ca.uky.edu/ces,,,,State,,Kentucky,Univ of Kentucky Extension website -- Note added 8/27/15 16:14,http://extension.ca.uky.edu/,6/6/13 18:08
cga.edu,U.S. Coast Guard,,,Federal,,,United States Coast Guard Academy -- Note added 1/23/14 15:30,http://www.cga.edu/,1/23/14 15:30
chandra.harvard.edu,,,,Quasigovernmental,,,"Chandra X-ray Center, Operated for NASA by¬†the Smithsonian Astrophysical Observatory.¬†This site was developed with funding from NASA under contract NAS8-03060. -- Note added 6/14/13 18:54",#N/A,6/6/13 18:08
clemson.edu/extension,,,,State,,South Carolina,"Clemson Univ, Sc -- Note added 8/28/15 13:40",http://www.clemson.edu/extension/,6/6/13 18:08
climatecenter.fsu.edu,,,,Quasigovernmental,,Florida,"The Florida Climate Center is part of a three-tiered system providing climate services at the national, regional and state levels, including http://www.ncdc.noaa.gov - NOAA's National Climatic Data Center at the national level. -- Note added 11/13/13 18:05",#N/A,11/13/13 18:04
ctg.albany.edu,,,,State,,New York,"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02",http://ctg.albany.edu/,6/6/13 18:08
cybercemetery.unt.edu,Quasigovernmental,,,Federal,,,"http://cybercemetery.unt.edu/ redirects to http://govinfo.library.unt.edu/.  But, left in *cybercemetary.unt.edu pattern to include the archived content found in the UNT CyberCemetary at http://govinfo.library.unt.edu/browse_expiration.htm  -- Note added 11/18/13 17:47",#N/A,6/14/13 19:31
dodea.edu,Department of Defense (DOD),,,Federal,,,Department of Defense Education Activity -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
earthkam.ucsd.edu,National Aeronautics and Space Administration (NASA),,,Federal,,,"Sally Ride EarthKAM (Earth Knowledge Acquired by Middle school students) is a NASA educational outreach program enabling students, teachers, and the public to learn about Earth from the unique perspective of space.¬† -- Note added 6/6/13 18:08",#N/A,6/6/13 18:08
energy.wsu.edu,,,,State,,Washington,Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13,http://energy.wsu.edu/,6/6/13 18:08
ext.vt.edu,,,,State,,Virginia,Virginia Cooperative Extension  -- Note added 6/6/14 20:29,http://ext.vt.edu/,6/6/13 18:08
