Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
apscservices.info,,,,State,,Arkansas,Arkansas Public Service Commission -- Note added 1/10/14 17:55,http://www.apscservices.info/,1/10/14 17:55
bearlakecounty.info,,,,County,,Idaho,"Bear Lake County, ID -- Note added 7/5/13 18:26",http://www.bearlakecounty.info/,6/6/13 18:08
bobber.info,U.S. Army Corps of Engineers,,,Federal,,,"Bobber, the official dog of the US Army Corps of Engineer's National Water Safety Program (watersafety.usace.army.mil) -- Note added 6/6/13 18:08",#N/A,6/6/13 18:08
californiacareers.info,,,,Local,,California,CA Dept of Education program -- Note added 3/5/15 21:13,http://californiacareers.info/,6/6/13 18:08
cartercountymt.info,,,,County,,Montana,"Carter County, MT -- Note added 11/22/13 12:40",http://cartercountymt.info/,6/6/13 18:08
cbp-ntep.info,Customs and Border Patrol (CBP),,,Federal,,,"National Training Evaluation Program, Customs and Border Patrol, Department of Homeland Security -- Note added 6/14/13 18:49",#N/A,6/6/13 18:08
cipm.info,National Science Foundation (NSF),,,Federal,,,National Science Foundation Center for Integrated Pest Management (CIPM). -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
citymb.info,,,,Local,,California,City of Manhattan Beach website -- Note added 4/6/15 22:13,http://citymb.info/,6/6/13 18:08
cityofberkeley.info,,,,Local,,California,"City of Berkeley, CA -- Note added 8/27/13 12:51",http://cityofberkeley.info/Home.aspx,6/6/13 18:08
cloversc.info,,,,Local,,South Carolina,"clover, sc -- Note added 8/28/15 13:40",http://www.cloversc.org/,6/6/13 18:08
d11nuscgaux.info,U.S. Coast Guard Auxiliary,,,Federal,,Utah,"United States Coast Guard Auxiliary, District 11 Northern Region, U.S. Department of Homeland Security -- Note added 6/6/13 18:08",http://d11nuscgaux.info/,6/6/13 18:08
enviroflash.info,Environmental Protection Agency (EPA),,,Federal,,,"EnviroFlash, air quality notifications. EnviroFlash is sponsored by the U.S. Environmental Protection Agency (http://www.epa.gov - EPA) with support from State and local air quality agencies. EnviroFlash provides air quality information such as forecasts and action day notifications via email for your area of interest. -- Note added 7/23/14 14:10",http://www.enviroflash.info/,11/13/13 14:17
gloucesterva.info,,,,County,,Virginia,"County of Gloucester, VA -- Note added 12/5/13 14:54",http://gloucesterva.info/,6/6/13 18:08
hudexchange.info,Department of Housing and Urban Development (HUD),,,Federal,,,HUD Exchange -- Note added 3/16/16 17:36,https://www.hudexchange.info/,3/16/16 17:35
Hudhre.info,Department of Housing and Urban Development (HUD),,,Federal,,,Homelessness Resource Exchange I US Dept. of Housing and Urban Development -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
hudnsphelp.info,Department of Housing and Urban Development (HUD),,,Federal,,,Neighborhood Stabilization Program and Resource Exchange I US Dept. of Housing and Ubran Development -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
kltprc.info,,,,State,,Kentucky,Ky legislature -- Note added 8/27/15 16:39,http://www.lrc.ky.gov/,6/6/13 18:08
laketowntownship.info,,,,Local,,Minnesota,"Laketown Township, MN -- Note added 1/22/14 20:43",http://www.laketowntownship.info/,6/6/13 18:08
littlemountainsc.info,,,,Local,,South Carolina,"little mountain, sc -- Note added 8/28/15 13:58",http://www.littlemountainsc.com/,6/6/13 18:08
