Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
adaweb.net,,,,County,,Idaho,"Ada County, ID -- Note added 7/14/14 13:54",https://adacounty.id.gov/,6/6/13 18:08
afneurope.net,Department of Defense (DOD),,,Federal,,,American Forces Network Europe. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:17,http://www.afneurope.net/,5/8/15 14:16
afnpacific.net,Department of Defense (DOD),,,Federal,,,American Forces Network Pacific. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:18,http://afnpacific.net/,5/8/15 14:17
ajcity.net,,,,Local,,Arizona,"Apache Junction, AZ -- Note added 11/18/13 14:35",http://www.ajcity.net/,6/6/13 18:08
alalinc.net,,,,State,,Alabama,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43",#N/A,6/7/13 12:00
albanymo.net,,,,Local,,Missouri,"City of Albany, MO -- Note added 9/2/15 14:11",http://www.albanymo.net/,6/6/13 18:08
alleghenytownship.net,,,,Local,,Pennsylvania,"Allegheny Township, Westmoreland County, PA -- Note added 9/23/15 12:55",http://alleghenytownship.net/,9/23/15 12:55
altamontil.net,,,,Local,,Illinois,"City of Altamont, IL -- Note added 7/1/14 18:55",http://altamontil.net/,6/6/13 18:08
amadorcity.net,,,,Local,,California,"Amador City, CA -- Note added 3/3/15 13:11",http://www.amador-city.com/,3/3/15 13:10
anaheim.net,,,,Local,,California,City of Anaheim website -- Note added 3/3/15 19:03,http://anaheim.net/,6/6/13 18:08
angelinacounty.net,,,,County,,Texas,"Angelina County, TX -- Note added 3/3/15 6:33",http://www.angelinacounty.net/,6/6/13 18:08
apopka.net,,,,Local,,Florida,City of Apoka -- Note added 6/15/15 19:34,http://apopka.net/,6/6/13 18:08
arcadialakes.net,,,,Local,,South Carolina,"arcadia lakes, sc -- Note added 8/28/15 13:17",http://www.arcadialakes.net/,6/6/13 18:08
ascensionparish.net,,,,County,,Louisiana,"Ascension Parish, Louisiana -- Note added 8/21/15 17:38",http://ascensionparish.net/,6/6/13 18:08
astontownship.net,,,,Local,,Pennsylvania,"Aston Township, PA -- Note added 6/30/14 20:47",http://astontownship.net/,6/6/13 18:08
ausabletownship.net,,,,Local,,Michigan,"ausable township, mi -- Note added 9/2/15 19:58",http://ausabletownship.net/,6/6/13 18:08
avondaleboro.net,,,,Local,,Pennsylvania,"Borough of Avondale, PA -- Note added 6/30/14 20:51",http://avondaleboro.net/,6/6/13 18:08
baldwintownship.net,,,,Local,,Michigan,"Baldwin Township, MI -- Note added 7/19/13 12:58",http://baldwintownship.net/,7/19/13 12:58
barnegat.net,,,,Local,,New Jersey,"Barnegat Township, NJ (Ocean County) -- Note added 6/30/14 12:02",http://www.barnegat.net/,6/6/13 18:08
