Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
1800runaway.org,,,,Quasigovernmental,,,"The National Runaway Safeline serves as the federally designated national communication system for runaway and homeless youth. Services are provided through funding from Family and Youth Services Bureau in the Administration for Children and Families, U.S. Department of Health and Human Services and the generosity of private funders (individual donors, corporate partners, and foundation grants). -- Note added 7/23/14 13:04",http://www.1800runaway.org/,1/10/14 19:15
211virginia.org,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17",http://211virginia.org,1/10/14 19:17
3riverscfc.org,Combined Federal Campaign,,,Federal,,"Ohio, Pennsylvania, West Virginia",3 Rivers/Pennsylvania West Combined Federal Campaign -- Note added 6/6/13 18:08,http://3riverscfc.org/,6/6/13 18:08
511ny.org,,,,State,,New York,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34",http://511ny.org/,1/24/14 14:33
911digitalarchive.org,,,,Quasigovernmental,,,The September 11 Digital Archive (funded by a major grant from the Alfred P. Sloan Foundation and organized by the American Social History Project at the City University of New York Graduate Center and the Center for History and New Media at George Mason University) -- Note added 6/6/13 18:08,http://911digitalarchive.org/,6/6/13 18:08
a2gov.org,,,,Local,,Michigan,"City of Ann Arbor, MI -- Note added 8/31/16 16:38",http://www.a2gov.org/,8/31/16 16:33
aacounty.org,,,,County,,Maryland,"Anne Arundel County, MD -- Note added 4/21/14 14:52",http://www.aacounty.org/,6/6/13 18:08
aapcc.org,,,,Quasigovernmental,,,American Association of Poison Control Centers -- Note added 1/10/14 19:19,http://www.aapcc.org/,1/10/14 19:19
aatwp.org,,,,Local,,Michigan,"Ann Arbor Charter Township, MI -- Note added 9/2/15 19:54",http://aatwp.org/,6/6/13 18:08
aberdeen-md.org,,,,Local,,Maryland,"City of Aberdeen, MD -- Note added 3/20/14 17:17",http://www.aberdeen-md.org/,6/6/13 18:08
aberdeennj.org,,,,Local,,New Jersey,"Township of Aberdeen, NJ -- Note added 6/27/14 13:03",http://www.aberdeennj.org/,6/6/13 18:08
abington.org,,,,Local,,Pennsylvania,"Township of Abington, PA -- Note added 6/27/14 16:12",http://abington.org/,6/6/13 18:08
accessfayetteville.org,,,,Local,,Arkansas,"City of Fayetteville, AR -- Note added 7/17/13 16:00",http://accessfayetteville.org/,6/6/13 18:08
accessidaho.org,,,,State,,Idaho,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,http://www.accessidaho.org/,6/6/13 18:08
accidentmd.org,,,,County,,Maryland,"Accident Maryland, located in Garrett County, MD. -- Note added 4/29/14 14:21",http://www.accidentmd.org,6/6/13 18:08
acgov.org,,,,County,,California,"Alameda, CA County website -- Note added 2/27/15 18:18",http://acgov.org/,6/6/13 18:08
aclink.org,,,,County,,New Jersey,"Atlantic County, NJ  -- Note added 6/27/14 13:13",http://www.aclink.org/,6/6/13 18:08
actonmaine.org,,,,Local,,Maine,"acton, maine -- Note added 8/27/15 17:55",http://actonmaine.org/,6/6/13 18:08
acworth.org,,,,Local,,Georgia,"Acworth, GA -- Note added 8/25/15 14:03",http://cityofacworth.org/,6/6/13 18:08
adamscounty.org,,,,County,,Nebraska,"Adams County, NE -- Note added 12/6/13 18:48",http://adamscounty.org/,6/6/13 18:08
adamstwp.org,,,,Local,,Pennsylvania,"Adams Township, PA -- Note added 6/30/14 13:50",http://adamstwp.org/,6/6/13 18:08
addisla.org,,,,Local,,Louisiana,"Town of Addis, LA -- Note added 8/21/15 14:16",http://addisla.org/,6/6/13 18:08
addisonadvantage.org,,,,Local,,Illinois,"Village of Addison, IL -- Note added 7/1/14 18:53",http://addisonadvantage.org/,6/6/13 18:08
addisonwi.org,,,,Local,,Wisconsin,"Town of Addison, WI -- Note added 7/25/14 5:44",http://addisonwi.org/,6/6/13 18:08
adeliowa.org,,,,Local,,Iowa,"City of Adel, IA -- Note added 7/19/13 13:11",http://adeliowa.org/default.page,6/6/13 18:08
adlnet.org,Department of Defense (DOD),,,Federal,,,"Advanced Distributed Learning, an official website of the U.S. Government sponsored by the Office of the Under Secretary of Defense for Personnel and Readiness (OUSD P&R) -- Note added 11/13/13 14:12",http://adlnet.org/,11/13/13 14:11
adoptpakids.org,,,,State,,Pennsylvania,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,http://www.adoptpakids.org/,6/6/13 18:08
adoptuskids.org,,,,Quasigovernmental,,,AdoptUSKids is a service of the U.S. Children's Bureau (HHS) and has been in operation since 2002 by the Adoption Exchange Association ¬†under a cooperative agreement (grant #90CQ0003). -- Note added 6/14/13 18:04,#N/A,6/6/13 18:08
adph.org,,,,State,,Alabama,Alabama Department of Public Health -- Note added 6/12/13 16:40,http://adph.org/,6/6/13 18:08
aerhq.org,,,,Quasigovernmental,,,Army Emergency Relief is a private nonprofit organization incorporated in 1942 by the Secretary of War and the Army Chief of Staff. -- Note added 11/18/13 14:29,http://www.aerhq.org/dnn563/,6/6/13 18:08
afb.org,,,,Quasigovernmental,,,American Foundation for the Blind -- Note added 6/14/13 18:08,http://www.afb.org/default.aspx,6/6/13 18:08
afcity.org,,,,Local,,Utah,"American Fork City, UT -- Note added 7/19/13 18:40",http://afcity.org/,6/6/13 18:08
afognak.org,,,,Native Sovereign Nation / Tribal,,Alaska,"Native Village of Afognak, Kodiak, AK -- Note added 6/12/13 15:46",http://afognak.org/,6/6/13 18:08
afpmb.org,Department of Defense (DOD),,,Federal,,,Armed Forces Pest Management Board is a Directorate in the Office of the Deputy Under Secretary of Defense for Installations and Environment (DUSD(I&E)). -- Note added 6/14/13 18:13,#N/A,6/6/13 18:08
agnic.org,,,,Quasigovernmental,,,"Agriculture Network Information Collaborative (AgNIC), a voluntary alliance of institutions working to offer quick and reliable access to quality agricultural information and sources -- Note added 8/20/13 12:17",#N/A,8/20/13 12:16
aidea.org,,,,State,,Alaska,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,http://www.aidea.org/,6/6/13 18:08
airmont.org,,,,Local,,New York,"Village of Airmont, NY -- Note added 9/26/14 18:33",http://www.airmont.org/,6/6/13 18:08
ajb.org,Employment and Training Administration,,,Federal,,,"America's Job Bank, A CareerOneStop site sponsored by the U. S. Department of Labor, Employment and Training Administration. -- Note added 6/14/13 18:21",#N/A,6/6/13 18:08
akenergyauthority.org,,,,State,,Alaska,Alaska Energy Authority -- Note added 6/6/13 18:08,http://www.akenergyauthority.org/,6/6/13 18:08
akoltco.org,,,,County,,Alaska,Alaska Office of Long Term Care Ombudsman -- Note added 6/27/14 6:06,http://akoltco.org/,6/6/13 18:08
akpb.org,,,,State,,Alaska,Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08,http://akpb.org/,6/6/13 17:52
akronia.org,,,,Local,,Iowa,"City of Akron, IA -- Note added 6/6/13 18:09",http://akronia.org/,6/6/13 18:09
alabamafilm.org,,,,State,,Alabama,Alabama Film Office -- Note added 6/12/13 16:42,http://alabamafilm.org/2010/index2.shtml,6/6/13 18:08
alamedahsg.org,,,,Local,,California,"Housing Authority of the City of Alameda, CA -- Note added 6/12/13 18:44",http://alamedahsg.org/,6/6/13 18:08
alamotexas.org,,,,Local,,Texas,"City of Alamo, TX -- Note added 3/3/15 6:33",http://www.alamotexas.org/,6/6/13 18:08
alamotownship.org,,,,Local,,Michigan,"alamo township, mi -- Note added 9/2/15 19:55",http://www.alamotownship.org/,6/6/13 18:08
alaskacfc.org,Combined Federal Campaign,,,Federal,,Alaska,Alaska Combined Federal Campaign -- Note added 6/7/13 12:14,http://www.alaskacfc.org/_root/,6/6/13 18:08
alaskarrt.org,,,,Regional,,Alaska,"Alaska Regional Response Team, an advisory board to the Federal On Scene Coordinator (FOSC). -- Note added 6/27/14 6:10",http://alaskarrt.org/,6/7/13 12:10
alaskaseafood.org,,,,State,,Alaska,Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08,http://alaskaseafood.org/,6/6/13 18:08
albanyca.org,,,,Local,,California,"Official city of Albany, CA website -- Note added 3/2/15 20:59",http://albanyca.org/,6/6/13 18:08
albanynh.org,,,,Local,,New Hampshire,"albany, nh -- Note added 8/28/15 18:34",http://www.albanynh.org/,6/6/13 18:08
albanyny.org,,,,Local,,New York,"City of Albany, NY -- Note added 7/24/13 18:57",http://www.albanyny.org/Home.aspx,6/6/13 18:08
albemarle.org,,,,County,,Virginia,"Albemarle County, VA -- Note added 5/27/14 14:17",http://www.albemarle.org/,6/6/13 18:08
albme.org,,,,State,,Alabama,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,http://albme.org/,6/6/13 18:08
alburtis.org,,,,Local,,Pennsylvania,"Borough of Alburtis, PA -- Note added 6/30/14 15:44",http://alburtis.org/,6/6/13 18:08
aleutianseast.org,,,,Local,,Alaska,"Aleutians East Borough, AK -- Note added 6/7/13 12:38",http://www.aleutianseast.org/,6/6/13 18:08
alexandriatownship.org,,,,Local,,Minnesota,"Alexandria Township, MN -- Note added 3/11/15 15:17",http://www.alexandriatownship.org/,6/6/13 18:08
alfredny.org,,,,Local,,New York,"Village of Alfred, NY -- Note added 6/8/15 12:04",http://alfredny.org/,6/6/13 18:08
algomacity.org,,,,Local,,Wisconsin,"City of Algoma, WI -- Note added 7/25/14 5:05",http://www.algomacity.org/,6/6/13 18:08
algonquin.org,,,,Local,,Illinois,"Village of Algonquin, IL -- Note added 7/1/14 18:55",http://algonquin.org/,6/6/13 18:08
allamuchynj.org,,,,Local,,New Jersey,"Village of Allamuchy, NJ -- Note added 6/30/14 11:42",http://allamuchynj.org/,7/24/13 18:59
allegancounty.org,,,,County,,Michigan,"allegan county, nh -- Note added 9/2/15 19:55",http://cms.allegancounty.org/sitepages/default.aspx#.VedTH_lViko,6/6/13 18:08
allencounty.org,,,,County,,Kansas,"Allen County, KS -- Note added 6/30/14 6:17",http://allencounty.org/,6/6/13 18:08
allenhurstnj.org,,,,Local,,New Jersey,"Borough of Allenhurst, NJ -- Note added 6/30/14 16:14",http://allenhurstnj.org/content/125/default.aspx,6/6/13 18:08
allentownship.org,,,,Local,,Pennsylvania,"Allen Township, PA -- Note added 6/30/14 15:47",http://allentownship.org/,6/6/13 18:08
