Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
18f.us,General Services Administration (GSA),,,Federal,,,"18F, General Services Administration -- Note added 11/10/14 19:10",https://midas.18f.us/,11/10/14 19:10
aberdeen.sd.us,,,,Local,,South Dakota,"City of Aberdeen, SD -- Note added 11/18/13 14:17",http://aberdeen.sd.us/,6/6/13 18:09
aberdeenms.us,,,,Local,,Mississippi,"City of Aberdeen, MS -- Note added 7/8/14 12:52",http://aberdeenms.us/,6/6/13 18:08
adamscounty.us,,,,County,,Pennsylvania,"Adams County, PA -- Note added 7/24/13 18:55",http://www.adamscounty.us/Pages/Home.aspx,6/6/13 18:08
ahfc.us,,,,State,,Alaska,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,http://www.ahfc.us/,6/6/13 18:08
alachuacounty.us,,,,County,,Florida,"Alachua County, FL -- Note added 6/6/13 18:08",http://alachuacounty.us/Pages/AlachuaCounty.aspx,6/6/13 18:08
alexandria-nj.us,,,,Local,,New Jersey,"Alexandria Township, NJ  -- Note added 6/30/14 11:40",http://alexandria-nj.us/,6/6/13 18:08
alfredme.us,,,,Local,,Maine,"alfred, me -- Note added 8/27/15 17:56",http://www.alfredme.us/,6/6/13 18:08
alleghanycounty.us,,,,County,,Virginia,"Alleghany County, VA -- Note added 8/28/13 12:11",http://www.alleghanycounty.us/index.html,6/6/13 18:08
alleghenycounty.us,,,,County,,Pennsylvania,"Allegheny County, PA -- Note added 7/24/13 13:26",http://alleghenycounty.us/,7/24/13 13:26
alpharetta.ga.us,,,,Local,,Georgia,"Alpharetta, GA -- Note added 8/25/15 14:03",http://www.alpharetta.ga.us/,6/6/13 18:08
amherst.ny.us,,,,Local,,New York,"Town of Amherst, NY -- Note added 5/27/15 18:42",http://www.amherst.ny.us/,6/6/13 18:08
andover.nh.us,,,,Local,,New Hampshire,"Town of Andover, NH -- Note added 7/23/13 19:47",http://andover.nh.us/,6/6/13 18:08
angleton.tx.us,,,,Local,,Texas,"Angleton, TX -- Note added 3/3/15 6:35",http://angleton.tx.us/,6/6/13 18:08
anokacounty.us,,,,County,,Minnesota,"Anoka County, MN -- Note added 4/19/15 23:57",http://www.anokacounty.us/,6/6/13 18:08
arlingtonva.us,,,,Local,,Virginia,"City of Arlington, Virginia -- Note added 8/30/13 13:07",http://www.arlingtonva.us/,6/6/13 18:08
aroostook.me.us,,,,County,,Maine,"Aroostook County, ME -- Note added 6/12/13 19:13",http://aroostook.me.us/,6/6/13 18:08
ashland.or.us,,,,Local,,Oregon,"City of Ashland, OR -- Note added 6/12/14 12:36",http://ashland.or.us/,6/6/13 18:08
ashlandmo.us,,,,Local,,Missouri,"City of Ash Land, MO -- Note added 9/2/15 14:32",http://ashlandmo.us/,6/6/13 18:08
astoria.or.us,,,,Local,,Oregon,"City of Astoria, OR -- Note added 6/12/14 12:37",http://astoria.or.us/,6/6/13 18:08
