domain_name,agency_organization,maintaining_office,use_case,Type of government,Federal branch,state,comments,link,date_added,agency_type,branch,Domain Type,city,security_contact_email
1-800-vermont.com,,,,State,,Vermont,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,http://1-800-vermont.com/,6/6/13 19:11,state,,,,
174.132.145.94/~hope,,,,Local,,North Carolina,"Town of Hope Mills, NC -- Note added 12/4/13 19:14",http://townofhopemills.com/,6/6/13 18:09,local,,,,
1800arkansas.com,,,,State,,,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,,1/24/14 14:37,state,,,,
1800runaway.org,,,,Quasigovernmental,,,"The National Runaway Safeline serves as the federally designated national communication system for runaway and homeless youth. Services are provided through funding from Family and Youth Services Bureau in the Administration for Children and Families, U.S. Department of Health and Human Services and the generosity of private funders (individual donors, corporate partners, and foundation grants). -- Note added 7/23/14 13:04",http://www.1800runaway.org/,1/10/14 19:15,quasigovernmental,,,,
18f.us,General Services Administration (GSA),,,Federal,,,"18F, General Services Administration -- Note added 11/10/14 19:10",https://midas.18f.us/,11/10/14 19:10,federal,unspecified,,,
211.getcare.com,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14",https://211.getcare.com/211provider/consumer/index211.do,5/27/14 14:12,state,,,,
211virginia.org,,,,State,,Virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17",http://211virginia.org,1/10/14 19:17,state,,,,
360eldorado.com/Government,,,,Local,,Kansas,"City of El Dorado, KS -- Note added 11/19/13 12:57",http://www.360eldorado.com/Government/CityofElDorado.html,11/19/13 12:54,local,,,,
3riverscfc.org,Combined Federal Campaign,,,Federal,,"Ohio, Pennsylvania, West Virginia",3 Rivers/Pennsylvania West Combined Federal Campaign -- Note added 6/6/13 18:08,http://3riverscfc.org/,6/6/13 18:08,federal,unspecified,,,
4thjudicialda.com,,,,State,,Colorado,4th Judicial District Attorney -- Note added 1/10/14 19:17,http://4thjudicialda.com/start.aspx,1/10/14 19:17,state,,,,
